                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.95298,                0.28591,                0.41039,                0.60609,                 1.1731,                0.99761,                      1,                  0.995,                 0.7663,                0.97267,                  0.975,                 0.9699,                0.93723,                 1.0352,                0.40994,                0.18378,                0.49072,                 1.3202,              0.0008945,              0.0008945,              0.0008945
                     70,                0.96966,                0.33254,                0.41539,                0.61237,                 1.1838,                0.97334,                      1,                0.99012,                0.78528,                0.94901,                  0.975,                0.96616,                0.93888,                0.98498,                0.45279,                0.14226,                0.50954,                 1.2722,               0.000878,               0.000878,               0.000878
                     71,                0.98492,                0.28727,                0.37413,                0.62923,                 1.1789,                0.97363,                      1,                0.99085,                0.81202,                0.94929,                  0.975,                0.96619,                0.93898,                0.88034,                0.37294,                0.12869,                0.52295,                 1.1897,              0.0008615,              0.0008615,              0.0008615
                     72,                0.94088,                0.26896,                 0.3937,                 0.5872,                 1.1853,                0.97368,                      1,                0.99329,                0.81824,                0.94934,                  0.975,                0.96215,                0.95021,                0.82285,                0.31067,                0.12621,                0.52068,                 1.1427,               0.000845,               0.000845,               0.000845
                     73,                0.88494,                 0.2667,                0.35497,                 0.5741,                 1.1488,                0.99823,                      1,                  0.995,                0.83001,                0.97314,                  0.975,                0.96197,                0.94966,                0.78587,                0.29207,                 0.1318,                0.50363,                 1.1126,              0.0008285,              0.0008285,              0.0008285
                     74,                0.88936,                0.26136,                0.38192,                0.56984,                 1.1301,                0.97124,                      1,                0.99451,                0.86437,                0.94676,                  0.975,                0.95873,                0.94911,                0.69925,                0.26859,                0.15905,                0.46566,                 1.0481,               0.000812,               0.000812,               0.000812
                     75,                0.88132,                0.25713,                0.38624,                0.58121,                 1.1366,                0.97084,                      1,                0.99378,                0.85351,                0.94645,                  0.975,                0.95708,                0.94149,                 0.6674,                0.25397,                0.15945,                0.43036,                 1.0233,              0.0007955,              0.0007955,              0.0007955
                     76,                0.91092,                0.25354,                0.34592,                0.56699,                 1.1399,                0.97201,                      1,                0.99378,                0.84625,                0.94771,                  0.975,                 0.9604,                 0.9604,                0.65835,                0.26244,                0.14909,                0.41453,                  1.028,               0.000779,               0.000779,               0.000779
                     77,                0.91936,                0.30493,                0.34407,                0.58449,                 1.1327,                0.97333,                      1,                0.99451,                0.84856,                0.94899,                  0.975,                0.96255,                0.96255,                0.65083,                0.28075,                0.14028,                0.41667,                 1.0297,              0.0007625,              0.0007625,              0.0007625
                     78,                0.91322,                0.29882,                0.33666,                0.56758,                 1.1701,                0.99815,                      1,                  0.995,                0.83831,                0.97319,                  0.975,                0.96642,                0.96086,                0.66762,                0.33346,                0.13756,                0.40485,                 1.0312,               0.000746,               0.000746,               0.000746
