                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 0.8414,                0.20692,                0.16474,                 0.5117,                 1.1249,                0.98837,                0.99167,                0.99458,                0.80981,                0.95508,                0.95833,                0.95518,                0.93824,                0.76912,                0.46335,                0.03194,                0.39704,                 1.0688,              0.0009275,              0.0009275,              0.0009275
                     68,                0.85818,                0.22289,                0.16601,                0.51761,                 1.1116,                0.98948,                0.99167,                0.99467,                0.81085,                0.95603,                0.95833,                0.95918,                0.93906,                 0.7608,                0.44789,                 0.0291,                 0.3751,                 1.0749,               0.000911,               0.000911,               0.000911
                     69,                0.80833,                0.18396,                  0.152,                0.50235,                 1.0942,                0.99161,                0.98505,                0.99483,                0.81863,                0.93487,                0.91667,                0.91666,                0.89633,                0.74622,                0.69222,                0.03962,                0.37189,                 1.0537,              0.0008945,              0.0008945,              0.0008945
                     70,                0.86336,                0.27621,                0.17916,                0.52908,                 1.1262,                0.98846,                0.99167,                0.99475,                0.81694,                0.94248,                0.95587,                0.94871,                0.92316,                0.74091,                0.47547,                0.04673,                0.37899,                 1.0649,               0.000878,               0.000878,               0.000878
                     71,                0.83175,                0.20484,                0.16105,                0.52831,                 1.1264,                0.98655,                      1,                0.99459,                0.82832,                0.94641,                0.95833,                0.95129,                0.92227,                 0.7142,                0.44745,                0.03639,                0.36626,                  1.059,              0.0008615,              0.0008615,              0.0008615
                     72,                0.80665,                0.24124,                0.17194,                0.51441,                 1.1022,                0.99022,                      1,                0.99434,                0.83172,                0.94103,                   0.95,                  0.949,                0.92052,                0.71259,                 0.4795,                0.04113,                0.37152,                 1.0604,               0.000845,               0.000845,               0.000845
                     73,                0.80836,                0.17338,                0.15713,                0.49578,                 1.0916,                0.98158,                0.99167,                0.99425,                0.83272,                0.94029,                   0.95,                0.95142,                0.93429,                0.71959,                 0.4448,                0.02336,                0.37537,                 1.0552,              0.0008285,              0.0008285,              0.0008285
                     74,                0.81769,                0.16832,                0.14317,                0.48816,                 1.0987,                0.98323,                  0.977,                0.99408,                0.83919,                0.96036,                0.93333,                0.95946,                0.94283,                 0.7158,                0.44957,                0.03141,                0.37669,                 1.0334,               0.000812,               0.000812,               0.000812
                     75,                0.79581,                0.23825,                0.16825,                0.49848,                 1.1026,                0.98783,                  0.975,                0.99408,                0.83471,                 0.9578,                 0.9456,                0.95165,                0.93959,                0.72931,                0.48617,                 0.0469,                0.36241,                  1.046,              0.0007955,              0.0007955,              0.0007955
                     76,                0.80536,                0.21134,                0.16559,                0.48272,                 1.1006,                0.98342,                0.98843,                 0.9945,                 0.8233,                0.92662,                0.94713,                0.95827,                0.94489,                0.72845,                0.48717,                 0.0668,                  0.368,                 1.0449,               0.000779,               0.000779,               0.000779
                     77,                0.79315,                0.24675,                0.17052,                0.49829,                 1.0936,                0.99159,                0.98299,                0.99442,                0.83736,                0.95492,                0.96667,                0.97439,                0.94657,                0.70167,                0.44624,                0.02426,                0.35467,                 1.0428,              0.0007625,              0.0007625,              0.0007625
                     78,                0.80175,                0.21606,                0.16645,                0.48636,                 1.1025,                 0.9833,                0.98132,                0.99425,                0.83246,                0.92421,                   0.95,                0.95856,                0.94144,                0.69447,                0.42235,                0.01882,                0.36391,                 1.0308,               0.000746,               0.000746,               0.000746
                     79,                0.82158,                0.19389,                0.14073,                0.49682,                 1.1031,                0.99081,                0.99167,                0.99458,                0.83559,                0.94202,                0.94771,                0.96463,                0.92947,                0.69543,                0.45827,                0.03143,                0.35609,                 1.0189,              0.0007295,              0.0007295,              0.0007295
